ipie-ETotal,vafqmc-ETotal
-1.103969135111917,-1.1039691351119165
-1.104241330605784,-1.1042359268522313
-1.10463126028708,-1.1044579251310342
-1.104781585901781,-1.1046927433183251
-1.1049104220905817,-1.1051458778236112
-1.1052027974344192,-1.1055917856744086
-1.1054084974260874,-1.1058287411971974
-1.1057981594098005,-1.1061048396610498
-1.1061107299726667,-1.106267276117496
-1.1067786051123099,-1.1064877096687487
-1.1071723133148206,-1.1068936259684896
-1.1072094614019,-1.1071712743402256
-1.107396392329995,-1.1074744983356652
-1.107626157299687,-1.1078056687929803
-1.1078878675476116,-1.1081409646470184
-1.108433376698058,-1.1081104072464398
-1.1085659222533493,-1.1082911437057388
-1.1091460358891974,-1.1085415819695064
-1.1092409836457926,-1.1087189902565242
-1.1097642571012236,-1.1087549128179512
-1.1102432586054496,-1.1088597731608973
-1.1103490009068784,-1.1092162097303047
-1.1111165934175313,-1.1096576292586149
-1.1115479667487076,-1.109468594102509
-1.1121712722895842,-1.10970394588409
-1.1126410268587452,-1.1101930295120244
-1.1124969613287807,-1.1102014386381935
-1.1127697706453394,-1.110425447274138
-1.1125598425286032,-1.1104180037376257
-1.112730445141799,-1.1105501851216195
-1.112514169462022,-1.1095669881681518
-1.1127467624140972,-1.1096669293637091
-1.1128869930258976,-1.1094535924380555
-1.113340511958499,-1.1092568696208522
-1.113659420016076,-1.1096487274657525
-1.1137523303934835,-1.1097481196393741
-1.113520359925934,-1.1099719954383187
-1.1135481291556992,-1.1103152197581525
-1.1136073993113922,-1.1102409428914444
-1.1135585041275446,-1.110159435156893
-1.1138128185089209,-1.1102427745994703
-1.1136601426753832,-1.1112378807658603
-1.1139928040751776,-1.111761269999836
-1.1140910450017296,-1.1123998749077972
-1.1143649350796314,-1.1123697846173421
-1.1143009850944692,-1.1123760880042253
-1.1142143298200942,-1.1131483200109966
-1.115065731463566,-1.1133685087729324
-1.1161606700576696,-1.1133267301802137
-1.1155740094564544,-1.1135706027177046
-1.1154750141128098,-1.113334531913766
-1.1153792060182903,-1.113252287408449
-1.1148706001225246,-1.113455086844277
-1.1147042616674454,-1.1134776011434362
-1.1146351706347828,-1.1136320947959628
-1.1141052804983218,-1.1141651767182144
-1.1147043458355406,-1.1148961367938772
-1.1148781981449583,-1.1153739409903651
-1.1149706734979048,-1.115804863045647
-1.11515342248031,-1.1148269743849226
-1.1153067673684303,-1.115464938257718
-1.1156565658349615,-1.1158661670288867
-1.1158141171453397,-1.115613143331783
-1.1166626950847416,-1.115406795544467
-1.1159213140536408,-1.1157518038897964
-1.1166843190225675,-1.1162078164104783
-1.1169231073529016,-1.1163667476636694
-1.1167245404977038,-1.1160267548661695
-1.1169081346119623,-1.1162242925653818
-1.1166952593102009,-1.1172502815019385
-1.11694194985041,-1.1173911386050188
-1.1170281708585756,-1.1169141805523919
-1.1169723653017207,-1.1171502614153583
-1.1174296516077113,-1.1176952272076368
-1.1178503481572184,-1.118336169873742
-1.1178443082105023,-1.1178030601260858
-1.1180870757893642,-1.1189462103413348
-1.1186110637310434,-1.1196445680379488
-1.118129450105139,-1.1199838700922753
-1.1170832083763005,-1.1197855958259992
-1.117510069789049,-1.1192493012798403
-1.1172660459023565,-1.1188241985232437
-1.1179047103775241,-1.119646284419873
-1.1176377890790083,-1.1202756687630018
-1.1181188479753768,-1.1195628003889573
-1.118894082174299,-1.1192846576150857
-1.118241239693751,-1.117894955456047
-1.1183123200864784,-1.1181219357093826
-1.1189316413895003,-1.1185819213872055
-1.1187148053717886,-1.1181776997256334
-1.1186661627473369,-1.11745349362969
-1.1179832594744645,-1.1173236307190908
-1.1178494044817966,-1.1172581893758178
-1.1185606798729975,-1.1179523792850066
-1.1174685496845183,-1.1176366022185902
-1.1177337582773355,-1.1167136239538635
-1.117528456428939,-1.1166407091944093
-1.117423037191315,-1.1162713679937972
-1.1176493232706122,-1.1165739122477447
-1.1171523652130488,-1.116279746721501
-1.1182533782385926,-1.1163473738015168
-1.1187321800112027,-1.116861902813526
-1.1191576603283093,-1.1176272240670782
-1.1192960826064553,-1.1193787623588995
-1.1201284611990339,-1.1194356198735098
-1.1202692280193043,-1.1189271436878385
-1.1201608129078693,-1.118514759569823
-1.1207862174120595,-1.1184689798583454
-1.1211317339003377,-1.1173032151043203
-1.120928396779555,-1.118613664731579
-1.1213390063229618,-1.1183663988868155
-1.1212965465588969,-1.1183028739592953
-1.122167724453408,-1.117732619298539
-1.1230711040577626,-1.1184264048864903
-1.123204703484062,-1.1183632803320593
-1.1232321452398784,-1.1187781936391183
-1.1250302928195888,-1.1189615160293611
-1.1236106094003868,-1.1204732750759483
-1.1221795862223625,-1.1212634378249655
-1.1220074329523884,-1.1217059790523412
-1.121577076808135,-1.1204926358904528
-1.1202928393904792,-1.1206822583074505
-1.119868906839924,-1.119823424675815
-1.119145223215511,-1.1195315068285818
-1.1191973774613488,-1.1197426552766538
-1.1193876130314588,-1.1184106801722136
-1.1184750765237705,-1.1181972684610528
-1.117784753535086,-1.1185832554428674
-1.1174157842032446,-1.1185479789571235
-1.1171811519625325,-1.1189039652794057
-1.1170347060283041,-1.119158553021223
-1.1166691839674971,-1.1202529418510523
-1.116994647400371,-1.1200166787992076
-1.1165819328531215,-1.1200011826312462
-1.1170514208005184,-1.120174871352711
-1.117290857280515,-1.1209380126025548
-1.1176783337615137,-1.1213443007349135
-1.1175863129143713,-1.1216222744366893
-1.117812159516112,-1.1213296447943544
-1.1185525903431028,-1.1207350191322052
-1.119271033262471,-1.1193852718093054
-1.1191025980730445,-1.1203944720758534
-1.1194824209074752,-1.1201997119379454
-1.11878074683195,-1.1189046309141724
-1.119130411932552,-1.1196685793195886
-1.1190940865540875,-1.1193551571793683
-1.1197823533427933,-1.1195057825644426
-1.1191486304232392,-1.119066608951003
-1.1190404836668983,-1.1192181530854455
-1.118927280253142,-1.1191232631703643
-1.119669573215559,-1.1176608676445947
-1.1188934641851227,-1.1176837816144956
-1.1205783310660447,-1.1178358090539633
-1.12101031170534,-1.1180718938480072
-1.119843542734935,-1.118334266093418
-1.1209602327112156,-1.1183485570144904
-1.1218375698746792,-1.1185609975233715
-1.1200538708189414,-1.1198996612342342
-1.1194476393462516,-1.1206409188354414
-1.1192161460175207,-1.1191639269261262
