ipie-ETotal,vafqmc-ETotal
-1.1113497141086714,-1.1113497141086717
-1.1116686289878233,-1.111664312372888
-1.1121433620456789,-1.1119281022309682
-1.1123436258983597,-1.1122082213612317
-1.1124796117976414,-1.1127491854271216
-1.1128635249403804,-1.1132855532930397
-1.1131265391516896,-1.113577306188239
-1.1136338839921704,-1.1139193310061675
-1.1140272637792485,-1.1141245956957933
-1.1148353406708469,-1.1144036325430888
-1.115293470496706,-1.1149038691822057
-1.1153783160365494,-1.1152522999156929
-1.1155784720197515,-1.1156393190205056
-1.1158208537053533,-1.1160604421915883
-1.116258926135722,-1.1164890598467758
-1.1169554921006344,-1.1164735966782176
-1.1171577636433536,-1.116711708317144
-1.1178426128275507,-1.117038045917569
-1.1180049240523884,-1.1172823852892966
-1.1186916482508584,-1.1173530476021065
-1.119213393830585,-1.1174975054194392
-1.1192927131504082,-1.1179604725015706
-1.1203053789818063,-1.1185267782645123
-1.1208226724239454,-1.1183022075121636
-1.1215699105036765,-1.1186281396808473
-1.1220975494970435,-1.1192744503551941
-1.1219703147169418,-1.119309447162853
-1.1222932383364024,-1.1196158944621675
-1.1219702213165985,-1.1196490266380899
-1.1221775499996742,-1.1198366233266157
-1.1220201874449964,-1.1186245845247726
-1.1223555087138262,-1.1187761603445243
-1.1225368030718748,-1.1185360190648095
-1.1231527118291826,-1.1183035440740676
-1.1235750394745836,-1.1187955541681276
-1.1238302638629432,-1.1189426553293698
-1.1235018581208827,-1.1192219292049828
-1.1236477255750057,-1.119659333012713
-1.1237614518382124,-1.1195964758179098
-1.1238273228247482,-1.119521231076256
-1.1241706897582997,-1.1196567897905716
-1.1240196365264683,-1.1209436114621905
-1.1244288724258282,-1.121667026431616
-1.1246542403113118,-1.12253637496206
-1.125052726881804,-1.1225218651834286
-1.1250836294331636,-1.1225358576239983
-1.1250255512546878,-1.1236050055265496
-1.1262296369923377,-1.1239252372467075
-1.1276579233640474,-1.1239050814266012
-1.1268789951122222,-1.124256160412673
-1.126857720452169,-1.1239892915186442
-1.1267853064064222,-1.123938087752663
-1.1261316342229661,-1.1242114105309555
-1.1260243458691832,-1.12424357789328
-1.1259392733903382,-1.1244816626677738
-1.1254139859307368,-1.12523297736224
-1.126320683893874,-1.1262458486394225
-1.1267095978181856,-1.1269135240507606
-1.126871252335184,-1.1275206428321072
-1.1272120824025131,-1.126224378102477
-1.1275097306688002,-1.1270787741981751
-1.1282519360175685,-1.1276183115785303
-1.1284814935584124,-1.1273162621770167
-1.1296707597854552,-1.1270833487008303
-1.1286648681459615,-1.127610510489659
-1.129814653227167,-1.1282866344199114
-1.1304762315264723,-1.1285592867400118
-1.1301582358112352,-1.1281615865319357
-1.1305094443517176,-1.1285119483047232
-1.1303710762350494,-1.129931528674557
-1.1307899750377277,-1.1301489056631655
-1.1309981139107506,-1.1295533392946273
-1.1309840100000776,-1.1300129371693948
-1.1318552385320997,-1.1308307382153004
-1.1326268913526167,-1.1316354351325735
-1.1324819578121887,-1.1309354310461177
-1.1326542798430999,-1.1325312017549929
-1.1336092132640299,-1.1335504024965757
-1.1328669235664253,-1.1340800728675038
-1.1313471589978552,-1.1339305983722454
-1.13216152343719,-1.133280125647622
-1.1320750611171315,-1.132819508404266
-1.133168626506184,-1.1339713872493808
-1.1329743839698372,-1.1348775588421494
-1.1337225824803074,-1.133920709699303
-1.1348860185970644,-1.1336038786586407
-1.1338975800815236,-1.1318048281898319
-1.134130477695261,-1.1321138494938159
-1.134777390505653,-1.1328735352674693
-1.1343361988075504,-1.1324292831841698
-1.1344397509725181,-1.1314077410570635
-1.1335123693425575,-1.1312818539441936
-1.1331527876470977,-1.1312681442001287
-1.1342867856129,-1.1324129248544488
-1.1328992761582417,-1.1319938543824979
-1.1333853963453506,-1.1307118040187794
-1.133085628032789,-1.1305966631297462
-1.1330744032633266,-1.1301134635577101
-1.133930646558166,-1.130626837590245
-1.1333307224078344,-1.1301681095590606
-1.1355403898315661,-1.1302628791817388
-1.1358906625147915,-1.1310663114681374
-1.1363821399554563,-1.1322682850954129
-1.13656807798008,-1.134998538429271
-1.138605576998123,-1.1350508684623053
-1.1387655382929476,-1.1343124877751813
-1.1381614458887617,-1.1336942298348014
-1.1390936846633115,-1.1337897465847864
-1.1395637362653248,-1.131926937670061
-1.1394554743942285,-1.133943279884834
-1.1401296779083516,-1.1334590186166877
-1.1402876549625482,-1.1334355609634266
-1.1420354900681307,-1.1325738683158753
-1.143488975747635,-1.1335937192642096
-1.1432340575131066,-1.1335546698165375
-1.1441014631394397,-1.1340828643565481
-1.1497983347083425,-1.134427336727506
-1.1454713973317387,-1.1367473239195771
-1.1422828214158574,-1.1378190071094316
-1.1421692331855948,-1.1387000116033954
-1.1410423592826393,-1.1366831973917755
-1.138891942594593,-1.1371002987340066
-1.1380561435701129,-1.1358851780585362
-1.1368979447923646,-1.1355952805513916
-1.1369289732959318,-1.1362589346700303
-1.1372222247334858,-1.1341636341939814
-1.135615449317796,-1.1340633222642482
-1.1343158215324298,-1.1348697738713058
-1.1336818063144216,-1.1351072866105025
-1.1332839514486535,-1.1358490243379016
-1.1330180870594486,-1.136211669298043
-1.1325125712432638,-1.1381345689862912
-1.133142416217377,-1.137448756427477
-1.1326003756001055,-1.1375494621012208
-1.1330964092856184,-1.1380559330704338
-1.1334691013507692,-1.1392783692712745
-1.1340413598283017,-1.1404153112429711
-1.13408534489428,-1.1407859141250924
-1.1344986734600404,-1.1405300486556267
-1.1356173288763218,-1.13986515616021
-1.1369209294606055,-1.137720186976255
-1.1367373425171747,-1.1397766098601334
-1.1371235068063135,-1.1397039130407243
-1.1357827192482266,-1.137251246582955
-1.1365901849835753,-1.1387422925223962
-1.136488335119988,-1.1388217549761115
-1.1375066448150466,-1.1397683331267119
-1.1367075764015597,-1.1382077690302825
-1.1366102960452094,-1.138444345291524
-1.1364690261619634,-1.1376764884835804
-1.1379915268024858,-1.1349466693268235
-1.1367130424356298,-1.1349420967506352
-1.1403826459011013,-1.1354290447717408
-1.140645300700789,-1.1360314444395276
-1.1385722231104685,-1.1362584344693032
-1.140603673088349,-1.136372847088317
-1.142945711209263,-1.1366449011452149
-1.139815854150315,-1.1390355888124444
-1.1387256794020422,-1.1404612151063485
-1.138205096288702,-1.1379393890694511
-1.1377579705890115,-1.1360526124286223
-1.137412188143275,-1.1359528060975168
-1.13836646798478,-1.1362627909161953
-1.1395729062357065,-1.1353020116404597
-1.1405810190505377,-1.1355630490009831
-1.140850575173082,-1.1349092274531134
-1.1411050544736085,-1.1339893744061493
-1.1393683539316781,-1.1333334870174099
-1.1390972961534898,-1.1328939176157
-1.138485001791414,-1.1322165625969598
-1.1401122763462053,-1.1328357683186856
-1.1407563480994758,-1.1323919501016264
-1.1430212222671576,-1.1325729083023701
-1.142266042973375,-1.1332211447406162
-1.1445632892929214,-1.13411796539604
-1.1443655093665799,-1.1333031361806036
-1.144783807268833,-1.1330953837268405
-1.1435334611161445,-1.1344563235843785
-1.1443830008464098,-1.1354150080837933
-1.1479525705368363,-1.1372417675371116
-1.1484754345463173,-1.1369072347857105
-1.1504576619724074,-1.1365822116102828
-1.148504324837355,-1.1370029037153346
-1.1476208609344458,-1.1371870571037477
-1.1491870253285472,-1.1362703797653801
-1.1538009978706554,-1.1355020002153506
-1.1495670190803091,-1.1366283994096893
-1.1498411800733581,-1.136772326503973
-1.1510431959261263,-1.1350328630698854
-1.1491447302531659,-1.135716719052473
-1.1500704731407898,-1.135755613751824
-1.1481430148675678,-1.1349353590419338
-1.146571517658994,-1.1339979096834327
-1.1470286482306487,-1.1329430127801612
-1.1488273821756634,-1.1317985283626883
-1.1474030944312512,-1.1311358829578986
-1.148066422515825,-1.1315587195730543
-1.1453404952682655,-1.131196845945749
-1.1464762410066154,-1.1306773372074161
-1.1460196562396698,-1.130778250876175
-1.1451799172027672,-1.1318920136947908
-1.1444319634085933,-1.1320136475555147
-1.144248312605805,-1.1312417800722894
-1.1456355356754506,-1.130094802446674
-1.1442586293930168,-1.1308445878083533
-1.1440204744720568,-1.1312391615654431
-1.1440796723031292,-1.1305768249031614
-1.1421552504801582,-1.1305058862013322
-1.1444783654416706,-1.1309900830681676
-1.1425658120317381,-1.130728108271951
-1.1428664802468098,-1.1308059302101272
-1.1410957698179278,-1.132012057653814
-1.1410552737032587,-1.1309409833884092
-1.1402186805455325,-1.1303282881874344
-1.138760199158399,-1.1326705528183159
-1.1364339727456785,-1.13260424911109
-1.136907634621443,-1.1348477282906846
-1.1375411928841992,-1.136395438596793
-1.137298296581409,-1.1405094928113313
-1.1347603817774574,-1.1431336263177356
-1.137471435553147,-1.1458912957458716
-1.1362017891003242,-1.1453146188125736
-1.1379263343267247,-1.1513116458610668
-1.136993407257114,-1.144243594147619
-1.1364205666138594,-1.139807871439876
-1.1363973721683556,-1.1401983333437928
-1.137193509389213,-1.1455115397046984
-1.1382361175659352,-1.144387179675765
-1.1375949787863373,-1.1526185444254402
-1.1382192749094922,-1.1516698850424694
-1.1380255284918581,-1.1553760326835911
-1.13655417316232,-1.1537658032334008
-1.136940604344959,-1.1523655430529556
-1.135880447179909,-1.1519757850132448
-1.1362928689714944,-1.1479174112954507
-1.1371475561572133,-1.146232724263989
-1.135419460312965,-1.144430512957203
-1.1362394253462218,-1.1469561042786696
-1.1364220142175645,-1.1489243191847878
-1.1357384081681057,-1.1478730587090271
-1.1347113742276047,-1.1459189245622055
-1.1334735064237405,-1.1545640877783294
-1.1358657972443986,-1.1654315642127937
-1.133874479494452,-1.1619907415931596
-1.1349557493699711,-1.158328958846816
-1.1349778619561293,-1.1500499693187618
