ipie-ETotal,vafqmc-ETotal
-1.056429882169736,-1.0564298821697355
-1.0567943810586744,-1.0567909249754521
-1.057347485911724,-1.057094894166273
-1.0575938073919864,-1.0574183218864979
-1.0577404187871113,-1.0580432094925745
-1.0582103227669326,-1.0586655938563239
-1.058525170878004,-1.0590076084008322
-1.0591345837646386,-1.059410178123466
-1.0596035080517505,-1.0596539494679442
-1.060536466139387,-1.059985702139526
-1.0610580949174884,-1.0605732834152264
-1.0611917849589305,-1.0609859562545076
-1.0614079390542293,-1.0614494205646428
-1.061669299443443,-1.0619521055839907
-1.0622615595797635,-1.0624651493024087
-1.0630896643547068,-1.0624589542195373
-1.0633596992220367,-1.0627477160001535
-1.0641333953460748,-1.06314184796971
-1.0643619884867026,-1.0634456993718249
-1.0651956874093085,-1.0635432229643351
-1.0657529173210059,-1.063721912348925
-1.0658104517266225,-1.0642812014920813
-1.0670348941005092,-1.0649635811340692
-1.0676234074122029,-1.0647053925943042
-1.068482746348416,-1.0651106733357898
-1.0690555167265212,-1.065897651404073
-1.0689504973056347,-1.0659526410569544
-1.0693217049671124,-1.0663349698197568
-1.0689004970218108,-1.06640356961719
-1.0691451222930028,-1.066644230789277
-1.0690270616108521,-1.0652130358005063
-1.0694491959861852,-1.0654082988225575
-1.0696591443024543,-1.0651429453046082
-1.0704081063381174,-1.064876446836017
-1.0709328049944769,-1.0654649613202178
-1.0713187612848476,-1.0656570413257809
-1.0708988959585815,-1.0659871644018057
-1.0711459197133186,-1.0665144557723696
-1.0712969037164655,-1.066460529388056
-1.0714617151536276,-1.066388862902244
-1.0718903723471973,-1.066573889530173
-1.0717376570219999,-1.0681359538655562
-1.072216335264106,-1.0690501692812464
-1.072543483859314,-1.0701359772021661
-1.0730490635618943,-1.0701246199496257
-1.0731667114736356,-1.0701421519951932
-1.0731283038176487,-1.0714815867306737
-1.0746349395273884,-1.0718973353779109
-1.0763476062600053,-1.0718954579725841
-1.0753978605849654,-1.0723354307443373
-1.0754371977312172,-1.0720402092411534
-1.0753811379331228,-1.0720136480853497
-1.074593920128351,-1.072348672512031
