ipie-ETotal,vafqmc-ETotal
-0.9582189508706144,-0.9582189508706143
-0.9584691276773059,-0.9584630733933868
-0.9588155004522024,-0.9586648219653816
-0.9589402735742244,-0.9588774552754037
-0.9590685461225985,-0.95928751700081
-0.9593154412618887,-0.959688542588398
-0.9594905782373739,-0.9598966877672097
-0.9598143894423528,-0.9601380812908791
-0.9600859708494118,-0.9602772812177285
-0.9606769563911474,-0.9604659301956643
-0.9610399468162487,-0.9608229589669118
-0.9610566400296593,-0.9610628330903727
-0.9612389213669223,-0.9613213880473289
-0.961467035558982,-0.9616043474788225
-0.9616316986154594,-0.9618894419700103
-0.9620921281165881,-0.9618473723711033
-0.9621916251892517,-0.961996511561473
-0.962709168851144,-0.9622056903547879
-0.9627732553771843,-0.9623461929312126
-0.9632087825525459,-0.9623601267460429
-0.9636603153896994,-0.9624429243678089
-0.9637799938468717,-0.9627425771735401
-0.9644080730620912,-0.9631194324522222
-0.9647884044126903,-0.9629488832606629
-0.9653435701339516,-0.9631337309721978
-0.9657730784954035,-0.9635373920966407
-0.9656250101010889,-0.9635291697376911
-0.9658709933081295,-0.9637100979543969
-0.9657219281562808,-0.9636797906492812
-0.9658742861462063,-0.9637847162923426
-0.9656179054768572,-0.9629165947108376
-0.9657923542491991,-0.9629872285923605
-0.9659038692259987,-0.9627879274785636
-0.9662591590646693,-0.9626102377133018
-0.966528982011928,-0.9629535798993442
-0.9665259874029143,-0.9630295394960514
-0.966341340835793,-0.9632255639380849
-0.9663050140654363,-0.9635223626821828
-0.9663277000890174,-0.9634411430647749
-0.9662163539492654,-0.9633556226312887
-0.9664263272495314,-0.9634133679663385
-0.9662733792211561,-0.9642596086472447
-0.9665654260708446,-0.9646816689493669
-0.9665896838492284,-0.9652006941166422
-0.9667942005024823,-0.9651564750047004
-0.9666851727163511,-0.9651578526126324
-0.9665805492070217,-0.9657724691570073
-0.967232079803842,-0.9659422916114839
-0.9681362666098948,-0.9658889145344892
-0.9676561625080908,-0.9660722059039045
-0.9675113916603691,-0.9658532947483224
-0.9674024766115231,-0.9657539468548251
-0.9669724758561286,-0.965919482848098
-0.9667723747407522,-0.9659351773174021
-0.9667087985652446,-0.9660453522771232
-0.9661926029129759,-0.9664684422570012
-0.9666331266259451,-0.96705653106032
-0.9667142717489009,-0.9674398064137478
-0.9667725619700882,-0.9677819587148043
-0.9668757630955577,-0.9669613300968694
-0.9669638113982529,-0.9674903301954856
-0.9671419012548955,-0.9678191960105006
-0.9672677863852887,-0.9675895351429703
-0.9679404246808974,-0.9673967568352596
-0.9673448758183048,-0.9676452924502449
-0.9678899143383008,-0.9679868046963866
-0.9679522936843935,-0.9680898255771199
-0.9677999568198252,-0.9677785387034245
-0.967917609132015,-0.9679026558076045
-0.9677102668033518,-0.9687246681039446
-0.9678936439412422,-0.9688323984518659
-0.967913259648917,-0.96841186489485
-0.9678451240898479,-0.9685402336475284
-0.9681159307776546,-0.9689570590743796
-0.9683944804089344,-0.9695174090400792
-0.9684199076342408,-0.9690665627542123
-0.9686676037151319,-0.9699777039052114
-0.9689960974794128,-0.9705253877474542
-0.9686480743875049,-0.9707733708450939
-0.9678455781886857,-0.97056242327671
-0.9680939711606287,-0.9700903762218315
-0.967797622886675,-0.969685438570523
-0.9682411431610988,-0.9703475399181604
-0.9679749608778608,-0.9708359415717887
-0.9683406672892397,-0.9702413583783581
-0.9689129735557515,-0.9699738890969317
-0.9684302561644652,-0.9687988584461499
-0.9684426862496488,-0.9689785531973617
-0.9690263615158805,-0.9693041076917437
-0.9689136081265932,-0.9689259065858239
-0.9688133575462564,-0.9683476358234897
-0.9682494955049982,-0.9682256322595114
-0.9682448544759293,-0.9681449185402863
-0.968747362841846,-0.9686245466992088
-0.9678294559312319,-0.9683769836162401
-0.9680043993283718,-0.9676357764145929
-0.9678830373841064,-0.9675835919733565
-0.9677696213117035,-0.9672852726387103
