ipie-ETotal,vafqmc-ETotal
-1.0999636382534508,-1.09996363825345
-1.1002933192962139,-1.100289218453799
-1.1007868210593046,-1.100562531121361
-1.1009981256593726,-1.1008529286736453
-1.1011364013765559,-1.1014138113429939
-1.101540831910647,-1.1019706125440911
-1.101816323100367,-1.1022744170523244
-1.1023485331321996,-1.1026309470229152
-1.1027599417473948,-1.1028454909901009
-1.1035981825125343,-1.1031372278472589
-1.1040712420756116,-1.103658350967087
-1.1041674844245728,-1.1040222262712003
-1.1043712143200006,-1.1044275857912111
-1.1046176454218408,-1.1048683130300057
-1.1050932078921223,-1.1053172315301534
-1.1058217415017448,-1.1053042918722202
-1.1060400280656697,-1.1055546786068162
-1.1067465774035496,-1.1058973827484986
-1.1069245235513752,-1.106156093803748
-1.1076466736317336,-1.1062335338700888
-1.108177115896628,-1.1063863498179725
-1.1082510090519953,-1.1068725039728267
-1.10931523749791,-1.1074665092889624
-1.109850118306655,-1.1072339694074713
-1.1106242652802196,-1.1075791622811393
-1.111163116456302,-1.1082594163268655
-1.1110407464636716,-1.1082995354674012
-1.11137501856592,-1.1086241354857473
-1.1110280396253986,-1.1086658586712301
-1.111244008536478,-1.108866014293562
-1.1110970764157304,-1.1076021602476684
-1.1114537600893655,-1.1077644786164518
-1.1116425078117813,-1.107518347943169
-1.1122912995666727,-1.1072778430719417
-1.1127376535351827,-1.1077926926969472
-1.1130254826188553,-1.1079505102399623
-1.1126753397070497,-1.10824202103131
-1.11284604183127,-1.1087007412502679
-1.112969588858526,-1.1086401327472888
-1.1130596594545266,-1.1085659315991716
-1.1134232232953303,-1.1087132519094136
-1.113272110859506,-1.1100654350445693
-1.1136980507109462,-1.110833962831251
-1.1139489193825425,-1.1117547385262054
-1.1143735957763277,-1.1117418816421378
-1.1144254849029889,-1.1117570603962394
-1.1143726354136232,-1.1128910844228586
-1.1156505774171201,-1.1132339014385066
-1.1171484150561135,-1.1132182815298268
-1.116328289637973,-1.1135914571552876
-1.1163223857588147,-1.1133178259509737
-1.116254325099565,-1.1132728728291996
-1.11556882983986,-1.1135612703489866
-1.1154728492962898,-1.113594490255914
-1.1153831423501277,-1.1138506694473598
-1.114861345383789,-1.1146511168997957
-1.1158355354808944,-1.1157270606796752
-1.1162751037362908,-1.1164378173949372
-1.116451667107314,-1.1170844574571084
-1.1168270534559723,-1.1157149880969417
-1.117157528103506,-1.1166181077815953
-1.1179932050989105,-1.117187802149621
-1.1182392092127833,-1.1168738093415447
-1.1195038015815155,-1.1166346334729993
-1.1184413086670613,-1.1172015342183432
-1.1196706361468884,-1.1179259260543932
-1.1204358876558647,-1.1182245580282288
-1.1200867256878149,-1.117812914833676
-1.1204788642231118,-1.1181982346660402
-1.1203671834359692,-1.1197043099753292
-1.1208312484014555,-1.1199402277407478
-1.1210643724733755,-1.119315826123741
-1.121062040513712,-1.119826599410283
-1.1220298960750865,-1.1207081089818738
-1.1228899321608983,-1.1215493463649127
-1.1227017551936012,-1.1208109005649598
-1.1228495075237654,-1.122507075938345
-1.1239052827726064,-1.1236016181078567
-1.1231032996395474,-1.1241751726114637
-1.1214783980976124,-1.1240398558644085
-1.1223837969925667,-1.1233651652524415
-1.1223369078222114,-1.1228962407279925
-1.123543418146442,-1.124124439972024
-1.1233766813535062,-1.1250913300187713
-1.1241922466615564,-1.1240769390812257
-1.1254376165448245,-1.1237476632891708
-1.1243711824404796,-1.1218576471579145
-1.1246462468325744,-1.1221823553714225
-1.1252934569132327,-1.1230122763483306
-1.1248023079947258,-1.1225598468978704
-1.1249469299856971,-1.121469160895742
-1.1239629728681204,-1.1213462273940682
