ipie-ETotal,vafqmc-ETotal
-1.07202806414503,-1.0720280641450297
-1.0723805613199524,-1.0723768906149114
-1.0729132773442358,-1.0726703119350585
-1.0731476270952802,-1.0729823834778889
-1.0732912320312902,-1.07358526541955
-1.0737386936577475,-1.0741851102229407
-1.074040115322785,-1.0745140614010853
-1.074623375908839,-1.07490088066807
-1.0750725837381374,-1.075134687198953
-1.0759732894223626,-1.0754527939736431
-1.0764781282558467,-1.0760176174048797
-1.0765988202937884,-1.0764136308539467
-1.076810565896766,-1.0768572314164642
-1.0770665096068337,-1.0773387578765599
-1.077619190941476,-1.0778299061042784
-1.0784135076416954,-1.0778215930550112
-1.0786657067293146,-1.0780973154727402
-1.0794166752148882,-1.0784739288419423
-1.0796277980569553,-1.0787624026714542
-1.0804234643291448,-1.07885327234919
-1.0809716481017617,-1.0790232125191697
-1.0810346467918313,-1.079557551640286
-1.0822047738466776,-1.0802096193978676
-1.082775275142098,-1.0799602631159828
-1.0836054873779708,-1.0803451409206606
-1.0841668771588528,-1.081095755681521
-1.084055630565981,-1.0811458787857566
-1.0844140530483295,-1.0815084313483225
-1.0840179639736098,-1.0815678834909184
-1.0842525856066962,-1.0817945833740479
-1.0841252783817048,-1.0804211001700794
-1.0845253902466725,-1.0806052726021496
-1.0847284512484308,-1.0803465294704286
-1.085443754073286,-1.0800890090709532
-1.0859413349203981,-1.0806521494084145
-1.0862945247823643,-1.0808324715663655
-1.0858986262246395,-1.081149431827239
-1.0861199372730321,-1.0816531249905303
-1.0862621022566317,-1.0815969813070114
-1.0864016587718552,-1.0815245758419394
-1.0868078978852325,-1.0816966431862018
-1.0866559798033422,-1.083186503893037
-1.087116659074272,-1.0840504534007256
-1.0874184285409871,-1.0850794824892727
-1.0878966690059355,-1.0850682278477997
-1.0879919827639233,-1.0850852010608678
-1.0879489769303237,-1.0863544134884082
-1.0893781934969837,-1.0867450010165682
-1.0910182335815317,-1.0867385372605498
-1.0901127053077053,-1.087156211457563
-1.0901371326194111,-1.0868683964343684
-1.0900772565637382,-1.086835782268854
-1.089324995483564,-1.0871550593767425
-1.0892508167104213,-1.0871890136155176
-1.0891502386311225,-1.0874826206532606
-1.0886370552951716,-1.088386798610952
-1.089751712884507,-1.0895953479050122
-1.090299152580314,-1.0903973399061926
-1.0905062307755171,-1.091127109083525
-1.090953109422182,-1.0896012444341685
-1.0913522472923098,-1.0906071296434299
-1.0923889841196335,-1.091239444414539
-1.092669407871023,-1.0908989779257312
-1.094091793238004,-1.0906462015029386
-1.0929120525910387,-1.0912957290571283
-1.0943018054227762,-1.0921206183156809
-1.095293300503192,-1.0924743978941827
-1.0948736561230674,-1.092031876640832
-1.095353902007922,-1.0924912530720996
-1.0953066309835993,-1.0941774322873767
-1.0958720094103602,-1.094453524614157
-1.096154965213305,-1.0937655047530777
-1.0961795179249703,-1.094384770955363
-1.0973529015526198,-1.0954028069455597
-1.0984085709282947,-1.096320242212642
-1.098116518203409,-1.0954996702398379
-1.0982038796099773,-1.097405889984156
-1.099474879874346,-1.0986625795221066
-1.0985444596014966,-1.0993296695543378
-1.0966989427611462,-1.0992274437151137
-1.0978000664685217,-1.098502903259228
-1.097837999370734,-1.0980153035713414
-1.099293851456887,-1.0994069117480525
-1.0991963914113763,-1.1004993893621566
-1.1001636834231105,-1.0993599853715346
-1.1015738975019804,-1.098999844910146
-1.10033750264271,-1.0969183334798527
-1.100706856465897,-1.0972726712131207
-1.1013489390708266,-1.0982522387811815
-1.1007555418837067,-1.0977828404296885
-1.1009930590284445,-1.0965434252805204
-1.0998883137559126,-1.0964281332121828
-1.0993899141721823,-1.0964578618367582
-1.1008172203742872,-1.0979287212699418
-1.0992356852795773,-1.0974545970973077
-1.0998840271932746,-1.0959143259872572
-1.0995696338801604,-1.095766598011715
-1.099652148918014,-1.0952141931437538
-1.1010867976229128,-1.0958842156855708
