ipie-ETotal,vafqmc-ETotal
-1.119377647729863,-1.1193776477298631
-1.1196581991300345,-1.1196530135665346
-1.12006385996424,-1.1198825684498819
-1.1202234463802134,-1.120125611698249
-1.1203531032062846,-1.1205947013417494
-1.1206622457182198,-1.1210571123344732
-1.1208787401629756,-1.1213043072751971
-1.1212910871097672,-1.121592727646491
-1.121618553053652,-1.1217632735464393
-1.1223131287886812,-1.1219948024494537
-1.122718348192326,-1.1224182402291734
-1.1227637208632504,-1.1227092049219083
-1.122952685671105,-1.1230281695330546
-1.1231839428900003,-1.1233762893967258
-1.1234794460319835,-1.1237291991059757
-1.1240540981169023,-1.1237020286846355
-1.124199149823221,-1.1238937252726546
-1.1247999039802177,-1.1241585772056772
-1.1249067877119574,-1.124348758911129
-1.1254609512202984,-1.1243917752828694
-1.125948565124325,-1.1245042617143024
-1.126049200750658,-1.1248807618265713
-1.1268643024422298,-1.1253453656298342
-1.1273126567248501,-1.1251497627362752
-1.1279594782580669,-1.125402511533985
-1.128441353930911,-1.1259214316084456
-1.1282996264360883,-1.1259352751592513
-1.128581705696565,-1.1261746766458887
-1.1283501576993482,-1.1261750681500036
-1.128527324404773,-1.1263173387625414
-1.1283237286398198,-1.1252923019844763
-1.1285762935703407,-1.1254022851732421
-1.1287253302341669,-1.1251839810757938
-1.1292112599639255,-1.1249806221726104
-1.129548614878034,-1.125390589068154
-1.1296738605811962,-1.1254986984507995
-1.1294243009948244,-1.125732811045264
-1.1294747384926096,-1.1260931875470936
-1.12954560856813,-1.1260212162057506
-1.1295187399264508,-1.1259410543821302
-1.1297892802738414,-1.12603391969478
-1.1296370165147036,-1.127082789873229
-1.1299840711807703,-1.1276428960909164
-1.1301075593833947,-1.128324280015697
-1.1304054963414931,-1.1282981774935834
-1.1303588734247345,-1.1283061524661027
-1.1302781788785814,-1.1291341800103383
-1.1311980534343382,-1.1293727023670028
-1.1323579194109608,-1.1293350569499114
-1.1317344611144216,-1.1295998129327827
-1.1316510061955973,-1.1293579160497869
-1.1315599457863743,-1.1292817428994097
-1.1310239874430925,-1.1294978957373318
-1.13086954952165,-1.1295227035688917
-1.1307981004551122,-1.1296929574007206
-1.1302669193366484,-1.130266084590022
-1.1309233499511833,-1.1310489616167778
-1.1311346272878655,-1.1315613909820805
-1.1312399999988647,-1.132024678869195
-1.1314521207172747,-1.1309891384527808
-1.13163121924092,-1.131666795273579
-1.1320491613329677,-1.1320939551423148
-1.1322194755579786,-1.1318323337877307
-1.1331314179318832,-1.1316212024051893
-1.1323394222977388,-1.1320004354915985
-1.1331779023405775,-1.1324975612776556
-1.133488427793551,-1.1326771109499305
-1.1332704647703307,-1.1323268713261345
-1.1334821540634628,-1.1325519718349286
-1.1332760084693785,-1.1336513291305903
-1.133550191924502,-1.1338053178456031
-1.1336600540301178,-1.13330757932253
-1.1336103519951477,-1.133583977161416
-1.1341405689437547,-1.1341774767580786
-1.1346196753255713,-1.134848389315606
-1.1345952798777281,-1.1342851042720639
-1.1348305489747754,-1.1355120860180112
-1.1354305357528822,-1.1362673831838326
-1.1349011400031368,-1.1366409008842793
-1.1337670605919106,-1.1364495772843182
-1.1342624328456519,-1.1358912882634462
-1.134043573616763,-1.13545953712884
-1.1347594028890247,-1.136340945568331
-1.134499012575352,-1.1370217069440618
-1.1350253126210779,-1.136265275857499
-1.1358740606492677,-1.1359819587319566
-1.1351601386921117,-1.134516057672916
-1.1352571085863266,-1.134759478521237
-1.1358852209165624,-1.1352721190966808
-1.1356279284014383,-1.1348597769859583
-1.135602821550126,-1.134082060760031
-1.134875974579933,-1.1339513943103225
-1.1346977078963774,-1.133893889513442
-1.1354862466598261,-1.1346687473676724
-1.1343361918653545,-1.1343312017457374
-1.134638975287662,-1.1333427152210318
-1.1344093504245056,-1.1332622749894676
-1.1343149819620817,-1.1328699738234904
-1.1346364042693287,-1.1332090675105975
-1.1341149816416576,-1.132883892955902
-1.1353917409761163,-1.132955200409444
-1.1358668571357773,-1.1335191785547707
-1.1363081321181927,-1.1343593147118645
-1.1364543781689243,-1.136278307154077
-1.1374653659817586,-1.1363350308816318
-1.1376142509582547,-1.1357835642170642
-1.1374342470619931,-1.1353362590723741
-1.1381124063855406,-1.1353115681485788
-1.1384778494408063,-1.1340233898503507
-1.1382863915032109,-1.13545555869724
-1.1387405634484526,-1.1351672451514878
-1.1387214915477293,-1.135110796598236
-1.1397178688231064,-1.134490091809023
-1.1407268931039292,-1.1352390035515885
-1.1408177509852238,-1.1351815035515325
-1.1409553121156029,-1.135616961280999
-1.1432637321267627,-1.13582989911238
-1.1414759444509675,-1.1374821953936725
-1.1397930146634456,-1.1383210261721972
-1.1396255760882141,-1.1388360497696128
-1.1390952363487967,-1.1374856959771735
-1.1376806577768601,-1.137712881709442
-1.1371973678412428,-1.1367922792978056
-1.1363884107492366,-1.1364992251665325
-1.1364339374563548,-1.1367887454532195
-1.136634814304387,-1.1353231483816504
-1.1356071959326925,-1.1351260723943828
-1.134814290237039,-1.135579248753856
-1.1344056701048206,-1.1355848209727588
-1.1341398446656445,-1.136000059827977
-1.1339680663759788,-1.1362698347568736
-1.1335781794909625,-1.137493194867795
-1.1339589936538665,-1.137189179158583
-1.133519609684103,-1.1371901148479622
-1.133995925957825,-1.1374106743847265
-1.1342535173368151,-1.1382504907780342
-1.1346720215144357,-1.1387554095128427
-1.134601866141972,-1.1390523919038875
-1.1348546046045402,-1.1387634254434935
-1.1356622869107793,-1.1381485961911104
-1.1364768270139918,-1.1366711683108812
-1.136307442141134,-1.1378410125580942
-1.136689543211201,-1.137660505109969
-1.135881084093396,-1.1361907752097098
-1.136301305702456,-1.1370596319315946
-1.136254689615445,-1.1367884920762261
-1.1370024285130926,-1.137039284589333
-1.1363387986585887,-1.1364563682278146
-1.1362337038624921,-1.136620551490759
-1.1361138924280008,-1.1364483762435285
-1.1369825071077833,-1.1347838850031438
-1.1361220948463624,-1.1348050717644036
-1.1381178227591089,-1.1350061595174024
-1.1385363631853833,-1.1352915348601564
-1.137221718257673,-1.1355512646863641
-1.138492881335995,-1.1355732392155862
-1.1395870809821207,-1.1358000856064794
-1.1375859246622457,-1.1373083749743789
-1.136896075650398,-1.1381599345658349
-1.136619451264699,-1.136513893732901
